,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
kelembaban_tinggi,0.31288403,-0.54848576,0.2783324,0.004198452,0.3794418,-0.110289335,0.09887872,-0.03598584,-0.1533041,-0.039125077,0.31209436,-0.017416136,-0.053300086,0.24224475,0.0062620216,0.41022545,0.22787595,-0.17460881,-0.19214197,0.44728786,0.08670592,0.41316178,0.24795966,-0.33953145,-0.03230805,0.18752357,-0.2569192,-0.040411524,0.2161387,-0.06887483,0.16584505,-0.013148504,0.07721387,-0.2366298,0.11764623,-0.32620528,0.28145662,0.08102392,0.51815677,-0.05030598,-0.16185836,0.110746026,0.04685674,-0.5349942,-0.20080948,-0.20404924,-0.053902753,0.042499196,-0.011654702,0.12413185,0.033751827,-0.0074428143,0.112714015,0.17856458,0.7726247,0.09287868,0.33163467,-0.056833506,-0.2547238,-0.12156835,-0.1553117,0.086600184,0.01802912,-0.30056328
MCMV,0.32445014,-0.072891355,0.112961546,-0.34993777,0.14600389,-0.3937164,0.053541478,0.0532314,-0.3066487,0.16998616,-0.10130057,-0.13106202,-0.3413165,-0.20908672,0.24371774,0.29268765,-0.34297574,-0.3087795,0.0044445954,0.8069439,-0.070960075,0.16020697,0.48520488,0.039404675,0.06761207,0.1744027,-0.31355384,0.46016136,0.5718771,-0.062212404,-0.086867884,0.051457956,-0.13378407,-0.4678585,0.10173058,-0.5033577,-0.0140355425,0.026527286,-0.010106135,-0.18545303,0.34493822,0.036231436,0.14077973,-0.5423342,-0.23642981,-0.013148017,-0.26612428,-0.029505003,0.44403684,0.56324655,0.5352532,-0.1527212,-0.06679964,0.3292364,0.62822086,0.08848757,0.44797644,0.12672123,-0.22853856,-0.034711838,0.059088066,-0.12330172,0.011691212,-0.020917604
Jagung,0.2579954,-0.1666301,0.27443033,0.22786817,0.071415864,-0.19404522,-0.1322688,0.1952501,-0.34171453,0.16538283,0.17222962,0.09387395,-0.21891847,0.09555841,-0.104055725,0.4041538,0.0237616,-0.16805014,0.025419824,0.44482258,0.20617412,0.39074746,0.39711824,-0.3279492,0.07704437,0.23337112,-0.15586108,0.0019214399,-0.04863596,-0.31946644,0.062054195,0.029233214,0.054046437,-0.032866884,-0.10857551,-0.46181056,0.43033236,-0.01561837,0.066636235,0.21440612,-0.15176627,0.12059335,0.20935914,-0.06543296,0.15407233,-0.17034423,-0.046630368,0.067436114,0.24168797,0.057046577,0.23863558,0.17783555,0.25085148,0.21203446,0.517008,0.03377863,0.47512892,0.038217325,-0.18919054,-0.006807879,-0.2680454,-0.0038666804,-0.19676962,-0.30143195
Damping-Off_of_Seedlings,0.3313216,-0.22848098,0.17320548,0.49718088,0.3334199,-0.33740175,0.22275172,0.18076326,-0.051290475,-0.13354817,0.51298267,-0.08222126,-0.35306272,0.10826389,-0.20201169,0.29724455,-0.19871533,0.052127544,0.23389037,0.2467611,0.43806082,0.6908113,0.3099563,-0.1873288,-0.034789633,0.56601894,0.017788513,0.054343566,-0.13665776,-0.18711899,-0.11012907,-0.26258302,-0.108937405,-0.06893195,-0.18068889,-0.09508302,0.19129035,0.21579278,0.35892767,0.0891867,0.038134508,-0.06037122,0.036588166,-0.07900607,-0.3827661,0.0051650843,-0.17055629,-0.051538777,0.11999879,0.592829,-0.06907164,-0.1762251,0.15131514,-0.04192796,0.5991852,0.23309807,0.17450644,0.016690047,-0.7505164,0.06440348,-0.07124037,-0.31647602,0.030819347,-0.09932023
Pythium spp.,0.21352994,-0.2212733,0.069347486,0.5138763,0.19314586,-0.1333159,-0.012049483,0.24230748,-0.16807178,-0.013319727,0.25589943,-0.20567568,-0.42316148,0.33113036,-0.12695411,0.22975828,-0.2794111,0.08275723,0.22118606,0.11810489,0.6192751,0.9096638,0.33890608,-0.009664086,-0.18138143,0.41598433,-0.09131486,0.13393602,0.16122192,-0.21091197,-0.048432782,-0.050224,-0.1027152,-0.09840155,-0.1415304,-0.17290834,0.34511495,0.3574428,0.29404205,-0.22050981,-0.062067084,-0.3263626,0.036988705,-0.15988147,-0.18092507,-0.06676203,-0.22674014,-0.13488813,0.17914177,0.72045577,-0.3510265,0.15815213,0.16190116,0.0034259295,0.8568436,0.31817332,0.13709104,-0.03799186,-0.3945465,0.3053407,0.1634029,-0.34404355,-0.050863773,-0.10502978
Maize_Smut,0.2988111,-0.048189513,0.1793039,-0.20478958,0.28041753,0.07930941,0.16145228,0.16981871,-0.40019885,0.15524793,0.26105586,0.00034279708,-0.09958409,0.21835165,0.03313268,0.4030656,0.06939301,0.16462827,0.1105964,0.50376403,0.34532854,0.5902966,-0.013383311,-0.1021475,0.25356,0.44451553,-0.032612305,-0.011667218,0.49401826,-0.2834333,-0.14616656,0.07887275,-0.40020835,0.17580305,-0.115766235,-0.37280068,0.37228614,0.34846044,0.21849218,-0.040185686,0.11612307,-0.007321864,0.21261403,-0.40278322,-0.05261919,-0.076681726,-0.52851796,-0.08564142,0.007545167,-0.21935728,0.22733845,0.066962205,0.0888621,0.3068171,0.5563961,0.18163759,0.282273,0.19648325,-0.22659476,-0.20258681,-0.5852135,0.10349469,-0.15862453,0.15141506
Maize_Bushy_Stunt_Phytoplasma,0.33953166,0.06346871,0.09664802,-0.02248627,0.1834261,-0.56416166,-0.09519408,-0.058752913,-0.36512816,-0.3620837,0.10956108,0.1298298,-0.22141595,0.18777329,-0.10273574,0.7202015,-0.3430378,-0.1908737,0.027559707,0.29185092,0.0759833,0.18015237,0.26493862,-0.5595207,0.43686175,0.19162498,-0.11089736,0.40955207,0.2121253,-0.36932474,-0.047050428,-0.03785482,-0.54914874,0.012943195,0.050357,-0.44478205,0.083212644,0.25192365,0.10389307,0.108824365,0.110531054,0.057191752,0.0046512275,-0.69678056,0.13286039,-0.0830833,-0.08159198,0.060896136,0.25397554,0.047597468,0.1004178,0.38910663,0.15878677,0.34701034,0.26931295,0.059177674,-0.031219127,0.20525694,-0.53882194,0.18263452,-0.026424607,-0.02720418,-0.23172787,-0.25843266
suhu_tinggi,0.20201465,-0.3348567,0.21115595,0.11463691,0.15687443,-0.40375295,0.18418643,0.067371994,-0.5441492,0.08455056,0.20221409,-0.17397766,-0.3334382,0.035490908,-0.13386846,0.3617969,0.047610532,0.06098386,-0.2930426,0.22829008,0.056035493,0.299255,0.45120057,-0.10020052,0.008878742,0.4858364,0.061289113,0.11484775,0.1646906,-0.17609121,-0.058956165,0.0051704347,-0.14492379,-0.10813325,0.023469104,-0.41919515,0.40382102,-0.06833434,0.310312,0.1422303,-0.029189708,0.2131244,-0.1235618,-0.45352837,0.11580367,0.16300404,-0.12404496,-0.16246769,0.2670991,0.13675429,0.08007928,0.0010524971,0.3357789,0.121899895,0.3678805,0.23338078,0.2399307,0.08373575,-0.22674969,0.044324122,0.016542623,-0.12942609,-0.06474132,-0.3046031
Boron_Deficiency,0.15116692,-0.14377888,-0.052281845,0.3452297,0.14880459,-0.68020546,0.087009765,-0.22715786,-0.14580007,0.4877,0.30277824,-0.070994414,-0.2740559,0.09730116,0.08034132,0.81437135,-0.18098293,0.4256604,-0.062069852,0.4168421,0.42972338,0.3693401,0.08317491,-0.24255772,0.13803288,-0.06936003,-0.25271255,-0.30706248,0.10320689,-0.35538074,0.29472065,-0.13283339,0.22631907,0.28699306,-0.3338042,-0.41599393,0.44673464,0.42956823,-0.041960474,-0.13439406,0.21967095,0.2577705,0.23431395,-0.30493262,-0.038192615,-0.20951073,0.17415924,0.12928045,0.22244108,0.1284441,0.3988676,-0.08450493,0.16861615,0.019400336,0.5056204,-0.15158051,0.2906531,-0.6396786,-0.25145233,-0.13940598,0.11657781,-0.10532449,-0.109554246,-0.058673337
batang_rapuh,0.3587439,-0.35209337,0.40935752,0.4074914,-0.1062908,-0.76143813,0.008069491,-0.1341825,-0.17706768,0.3860389,0.18719302,-0.106727436,-0.2792088,0.16700307,0.12962319,0.8514371,-0.14701629,0.34533638,0.12726198,0.4022708,0.48833886,0.090153486,-0.037523136,-0.23638742,0.05147407,-0.023237847,-0.5012964,-0.25882113,0.036624398,-0.33328786,0.24635932,-0.10781408,0.32209814,0.49968886,-0.20275535,-0.27008182,0.43304926,0.6369761,-0.17816077,-0.24967425,0.039013997,0.19987017,0.16894564,-0.29747772,-0.2118575,-0.26080012,0.18938823,0.08235638,0.2603845,0.10017883,0.47003725,0.008504524,0.20988053,-0.13125975,0.3818245,-0.23401745,0.34334227,-0.32315287,-0.22068276,-0.06553236,-0.08471947,-0.15343814,-0.049044095,-0.08146858
